=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN                                      --
├─Sequential: 1-1                        --
│    └─Conv2d: 2-1                       1,792
│    └─GroupNorm: 2-2                    128
│    └─ReLU: 2-3                         --
│    └─Conv2d: 2-4                       36,928
│    └─GroupNorm: 2-5                    128
│    └─ReLU: 2-6                         --
│    └─MaxPool2d: 2-7                    --
│    └─Conv2d: 2-8                       73,856
│    └─GroupNorm: 2-9                    256
│    └─ReLU: 2-10                        --
│    └─Conv2d: 2-11                      147,584
│    └─GroupNorm: 2-12                   256
│    └─ReLU: 2-13                        --
│    └─MaxPool2d: 2-14                   --
│    └─Conv2d: 2-15                      295,168
│    └─GroupNorm: 2-16                   512
│    └─ReLU: 2-17                        --
│    └─Conv2d: 2-18                      590,080
│    └─GroupNorm: 2-19                   512
│    └─ReLU: 2-20                        --
│    └─Conv2d: 2-21                      590,080
│    └─GroupNorm: 2-22                   512
│    └─ReLU: 2-23                        --
│    └─MaxPool2d: 2-24                   --
│    └─Conv2d: 2-25                      1,180,160
│    └─GroupNorm: 2-26                   1,024
│    └─ReLU: 2-27                        --
│    └─Conv2d: 2-28                      2,359,808
│    └─GroupNorm: 2-29                   1,024
│    └─ReLU: 2-30                        --
│    └─Conv2d: 2-31                      2,359,808
│    └─GroupNorm: 2-32                   1,024
│    └─ReLU: 2-33                        --
│    └─MaxPool2d: 2-34                   --
├─Sequential: 1-2                        --
│    └─Linear: 2-35                      8,392,704
│    └─ReLU: 2-36                        --
│    └─Dropout: 2-37                     --
│    └─Linear: 2-38                      16,781,312
│    └─ReLU: 2-39                        --
│    └─Dropout: 2-40                     --
│    └─Linear: 2-41                      4,097,000
│    └─ReLU: 2-42                        --
│    └─Dropout: 2-43                     --
│    └─Linear: 2-44                      14,014
=================================================================
Total params: 36,925,670
Trainable params: 36,925,670
Non-trainable params: 0
=================================================================
TRAINING - Epoch 0 Batch 0: loss 0.04925793036818504, f1 0.121,  prec 0.071, rec 0.418
VALIDATION - Epoch 5 Batch 20: loss 0.030947621911764145, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 6 Batch 0: loss 0.030881216749548912, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 6 Batch 10: loss 0.03071756102144718, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 6 Batch 20: loss 0.030467774718999863, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 6 Batch 30: loss 0.031076693907380104, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 6 Batch 40: loss 0.03271397203207016, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 6 Batch 50: loss 0.030057445168495178, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 6 Batch 0: loss 0.029855910688638687, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 6 Batch 10: loss 0.028899189084768295, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 6 Batch 20: loss 0.03150107339024544, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 7 Batch 0: loss 0.03051896020770073, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 7 Batch 10: loss 0.03237686678767204, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 7 Batch 20: loss 0.029861196875572205, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 7 Batch 30: loss 0.02812742069363594, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 7 Batch 40: loss 0.030234768986701965, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 7 Batch 50: loss 0.03131423518061638, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 7 Batch 0: loss 0.031027182936668396, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 7 Batch 10: loss 0.02977902442216873, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 7 Batch 20: loss 0.030414478853344917, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 8 Batch 0: loss 0.03394569456577301, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 8 Batch 10: loss 0.029063453897833824, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 8 Batch 20: loss 0.0297874603420496, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 8 Batch 30: loss 0.0305013544857502, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 8 Batch 40: loss 0.029854942113161087, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 8 Batch 50: loss 0.032308127731084824, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 8 Batch 0: loss 0.03183687478303909, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 8 Batch 10: loss 0.030479654669761658, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 8 Batch 20: loss 0.031940411776304245, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 9 Batch 0: loss 0.030033662915229797, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 9 Batch 10: loss 0.0289462897926569, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 9 Batch 20: loss 0.033506616950035095, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 9 Batch 30: loss 0.031385380774736404, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 9 Batch 40: loss 0.02965523675084114, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 9 Batch 50: loss 0.02854575589299202, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 9 Batch 0: loss 0.031119411811232567, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 9 Batch 10: loss 0.028885412961244583, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 9 Batch 20: loss 0.0290754996240139, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 10 Batch 0: loss 0.028379641473293304, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 10 Batch 10: loss 0.028374817222356796, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 10 Batch 20: loss 0.032270919531583786, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 10 Batch 30: loss 0.0299160685390234, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 10 Batch 40: loss 0.02860899269580841, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 10 Batch 50: loss 0.029342656955122948, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 10 Batch 0: loss 0.031512998044490814, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 10 Batch 10: loss 0.029796728864312172, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 10 Batch 20: loss 0.030618812888860703, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 11 Batch 0: loss 0.030997544527053833, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 11 Batch 10: loss 0.029461270198225975, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 11 Batch 20: loss 0.028857365250587463, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 11 Batch 30: loss 0.029198767617344856, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 11 Batch 40: loss 0.02898631989955902, f1 0.008,  prec 1.0, rec 0.004
TRAINING - Epoch 11 Batch 50: loss 0.03024834766983986, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 11 Batch 0: loss 0.03094034641981125, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 11 Batch 10: loss 0.030803486704826355, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 11 Batch 20: loss 0.03164801746606827, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 12 Batch 0: loss 0.03010156750679016, f1 0.046,  prec 0.429, rec 0.024
TRAINING - Epoch 12 Batch 10: loss 0.029914939776062965, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 12 Batch 20: loss 0.03034719079732895, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 12 Batch 30: loss 0.031049802899360657, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 12 Batch 40: loss 0.029554883018136024, f1 0.007,  prec 0.333, rec 0.004
TRAINING - Epoch 12 Batch 50: loss 0.031369101256132126, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 12 Batch 0: loss 0.030351903289556503, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 12 Batch 10: loss 0.029605675488710403, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 12 Batch 20: loss 0.027537088841199875, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 13 Batch 0: loss 0.028678052127361298, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 13 Batch 10: loss 0.028263099491596222, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 13 Batch 20: loss 0.030332498252391815, f1 0.029,  prec 0.5, rec 0.015
TRAINING - Epoch 13 Batch 30: loss 0.03141053393483162, f1 0.109,  prec 0.586, rec 0.06
TRAINING - Epoch 13 Batch 40: loss 0.030401155352592468, f1 0.266,  prec 0.441, rec 0.19
TRAINING - Epoch 13 Batch 50: loss 0.02863321267068386, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 13 Batch 0: loss 0.030049623921513557, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 13 Batch 10: loss 0.027835404500365257, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 13 Batch 20: loss 0.028494851663708687, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 14 Batch 0: loss 0.029278278350830078, f1 0.008,  prec 1.0, rec 0.004
TRAINING - Epoch 14 Batch 10: loss 0.03434251993894577, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 14 Batch 20: loss 0.029645875096321106, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 14 Batch 30: loss 0.028102632611989975, f1 0.14,  prec 0.655, rec 0.079
TRAINING - Epoch 14 Batch 40: loss 0.027847478166222572, f1 0.106,  prec 0.467, rec 0.06
TRAINING - Epoch 14 Batch 50: loss 0.029426537454128265, f1 0.028,  prec 0.571, rec 0.014
VALIDATION - Epoch 14 Batch 0: loss 0.029007086530327797, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 14 Batch 10: loss 0.031295549124479294, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 14 Batch 20: loss 0.027052978053689003, f1 0.009, prec 1.0, rec 0.004
TRAINING - Epoch 15 Batch 0: loss 0.02701597847044468, f1 0.032,  prec 0.364, rec 0.017
TRAINING - Epoch 15 Batch 10: loss 0.027152279391884804, f1 0.024,  prec 0.75, rec 0.012
TRAINING - Epoch 15 Batch 20: loss 0.03062308393418789, f1 0.028,  prec 0.571, rec 0.015
TRAINING - Epoch 15 Batch 30: loss 0.027703259140253067, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 15 Batch 40: loss 0.028139596804976463, f1 0.257,  prec 0.472, rec 0.176
TRAINING - Epoch 15 Batch 50: loss 0.03007361851632595, f1 0.105,  prec 0.5, rec 0.059
VALIDATION - Epoch 15 Batch 0: loss 0.02702324092388153, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 15 Batch 10: loss 0.029782608151435852, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 15 Batch 20: loss 0.0273574348539114, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 16 Batch 0: loss 0.028161928057670593, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 16 Batch 10: loss 0.029551178216934204, f1 0.234,  prec 0.519, rec 0.151
TRAINING - Epoch 16 Batch 20: loss 0.02539561130106449, f1 0.17,  prec 0.75, rec 0.096
TRAINING - Epoch 16 Batch 30: loss 0.027691757306456566, f1 0.281,  prec 0.511, rec 0.193
TRAINING - Epoch 16 Batch 40: loss 0.028937624767422676, f1 0.103,  prec 0.517, rec 0.057
TRAINING - Epoch 16 Batch 50: loss 0.0296359583735466, f1 0.211,  prec 0.434, rec 0.14
VALIDATION - Epoch 16 Batch 0: loss 0.026166770607233047, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 16 Batch 10: loss 0.0307401642203331, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 16 Batch 20: loss 0.026530291885137558, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 17 Batch 0: loss 0.02684079110622406, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 17 Batch 10: loss 0.030180731788277626, f1 0.271,  prec 0.459, rec 0.192
TRAINING - Epoch 17 Batch 20: loss 0.028585679829120636, f1 0.171,  prec 0.482, rec 0.104
TRAINING - Epoch 17 Batch 30: loss 0.02828960306942463, f1 0.164,  prec 0.667, rec 0.093
TRAINING - Epoch 17 Batch 40: loss 0.02820572815835476, f1 0.158,  prec 0.611, rec 0.091
TRAINING - Epoch 17 Batch 50: loss 0.027485648170113564, f1 0.175,  prec 0.473, rec 0.107
VALIDATION - Epoch 17 Batch 0: loss 0.029260866343975067, f1 0.236, prec 0.594, rec 0.147
VALIDATION - Epoch 17 Batch 10: loss 0.029062021523714066, f1 0.236, prec 0.586, rec 0.147
VALIDATION - Epoch 17 Batch 20: loss 0.029852811247110367, f1 0.251, prec 0.635, rec 0.157
TRAINING - Epoch 18 Batch 0: loss 0.02914351411163807, f1 0.229,  prec 0.521, rec 0.147
TRAINING - Epoch 18 Batch 10: loss 0.028697406873106956, f1 0.193,  prec 0.582, rec 0.116
TRAINING - Epoch 18 Batch 20: loss 0.03093160316348076, f1 0.042,  prec 0.429, rec 0.022
TRAINING - Epoch 18 Batch 30: loss 0.02735375612974167, f1 0.211,  prec 0.611, rec 0.127
TRAINING - Epoch 18 Batch 40: loss 0.030344823375344276, f1 0.091,  prec 0.591, rec 0.049
TRAINING - Epoch 18 Batch 50: loss 0.0272695142775774, f1 0.282,  prec 0.534, rec 0.192
VALIDATION - Epoch 18 Batch 0: loss 0.029494985938072205, f1 0.161, prec 0.722, rec 0.091
VALIDATION - Epoch 18 Batch 10: loss 0.027555564418435097, f1 0.211, prec 0.723, rec 0.123
VALIDATION - Epoch 18 Batch 20: loss 0.025277812033891678, f1 0.13, prec 0.567, rec 0.073
TRAINING - Epoch 19 Batch 0: loss 0.029568320140242577, f1 0.161,  prec 0.581, rec 0.094
TRAINING - Epoch 19 Batch 10: loss 0.029030999168753624, f1 0.12,  prec 0.529, rec 0.068
TRAINING - Epoch 19 Batch 20: loss 0.028226351365447044, f1 0.159,  prec 0.523, rec 0.093
TRAINING - Epoch 19 Batch 30: loss 0.030240774154663086, f1 0.21,  prec 0.644, rec 0.125
TRAINING - Epoch 19 Batch 40: loss 0.028495678678154945, f1 0.198,  prec 0.509, rec 0.123
TRAINING - Epoch 19 Batch 50: loss 0.025893038138747215, f1 0.164,  prec 0.622, rec 0.094
VALIDATION - Epoch 19 Batch 0: loss 0.028094973415136337, f1 0.109, prec 0.556, rec 0.06
VALIDATION - Epoch 19 Batch 10: loss 0.027784597128629684, f1 0.115, prec 0.567, rec 0.064
VALIDATION - Epoch 19 Batch 20: loss 0.028013890609145164, f1 0.116, prec 0.5, rec 0.065
TRAINING - Epoch 20 Batch 0: loss 0.025950279086828232, f1 0.136,  prec 0.6, rec 0.077
TRAINING - Epoch 20 Batch 10: loss 0.029741430655121803, f1 0.228,  prec 0.551, rec 0.144
TRAINING - Epoch 20 Batch 20: loss 0.02763151377439499, f1 0.212,  prec 0.6, rec 0.129
TRAINING - Epoch 20 Batch 30: loss 0.02784399688243866, f1 0.068,  prec 0.529, rec 0.036
TRAINING - Epoch 20 Batch 40: loss 0.026328127831220627, f1 0.157,  prec 0.447, rec 0.095
TRAINING - Epoch 20 Batch 50: loss 0.028539586812257767, f1 0.148,  prec 0.618, rec 0.084
VALIDATION - Epoch 20 Batch 0: loss 0.030181460082530975, f1 0.225, prec 0.556, rec 0.141
VALIDATION - Epoch 20 Batch 10: loss 0.029373856261372566, f1 0.234, prec 0.547, rec 0.149
VALIDATION - Epoch 20 Batch 20: loss 0.029078485444188118, f1 0.24, prec 0.473, rec 0.16
TRAINING - Epoch 21 Batch 0: loss 0.028090763837099075, f1 0.276,  prec 0.573, rec 0.182
TRAINING - Epoch 21 Batch 10: loss 0.028922593221068382, f1 0.044,  prec 0.667, rec 0.023
TRAINING - Epoch 21 Batch 20: loss 0.02850266918540001, f1 0.03,  prec 0.667, rec 0.015
TRAINING - Epoch 21 Batch 30: loss 0.029022308066487312, f1 0.25,  prec 0.444, rec 0.174
TRAINING - Epoch 21 Batch 40: loss 0.027496518567204475, f1 0.161,  prec 0.571, rec 0.094
TRAINING - Epoch 21 Batch 50: loss 0.026757318526506424, f1 0.131,  prec 0.531, rec 0.075
VALIDATION - Epoch 21 Batch 0: loss 0.02983933314681053, f1 0.286, prec 0.535, rec 0.196
VALIDATION - Epoch 21 Batch 10: loss 0.02733946405351162, f1 0.337, prec 0.552, rec 0.243
VALIDATION - Epoch 21 Batch 20: loss 0.03011281229555607, f1 0.255, prec 0.5, rec 0.171
TRAINING - Epoch 22 Batch 0: loss 0.028440440073609352, f1 0.289,  prec 0.467, rec 0.209
TRAINING - Epoch 22 Batch 10: loss 0.02658158913254738, f1 0.115,  prec 0.577, rec 0.064
TRAINING - Epoch 22 Batch 20: loss 0.02835356816649437, f1 0.207,  prec 0.582, rec 0.126
TRAINING - Epoch 22 Batch 30: loss 0.02705085650086403, f1 0.219,  prec 0.593, rec 0.134
TRAINING - Epoch 22 Batch 40: loss 0.027549341320991516, f1 0.239,  prec 0.679, rec 0.145
TRAINING - Epoch 22 Batch 50: loss 0.02731877937912941, f1 0.08,  prec 0.44, rec 0.044
VALIDATION - Epoch 22 Batch 0: loss 0.026897793635725975, f1 0.254, prec 0.462, rec 0.175
VALIDATION - Epoch 22 Batch 10: loss 0.02941085956990719, f1 0.286, prec 0.559, rec 0.192
VALIDATION - Epoch 22 Batch 20: loss 0.02919253706932068, f1 0.317, prec 0.54, rec 0.224
TRAINING - Epoch 23 Batch 0: loss 0.027709156274795532, f1 0.304,  prec 0.505, rec 0.217
TRAINING - Epoch 23 Batch 10: loss 0.025774139910936356, f1 0.233,  prec 0.618, rec 0.143
TRAINING - Epoch 23 Batch 20: loss 0.02859819307923317, f1 0.135,  prec 0.588, rec 0.076
TRAINING - Epoch 23 Batch 30: loss 0.02865041419863701, f1 0.044,  prec 0.667, rec 0.023
TRAINING - Epoch 23 Batch 40: loss 0.026804031804203987, f1 0.23,  prec 0.648, rec 0.14
TRAINING - Epoch 23 Batch 50: loss 0.026006527245044708, f1 0.22,  prec 0.635, rec 0.133
VALIDATION - Epoch 23 Batch 0: loss 0.0267801396548748, f1 0.21, prec 0.635, rec 0.125
VALIDATION - Epoch 23 Batch 10: loss 0.02940399944782257, f1 0.144, prec 0.548, rec 0.083
VALIDATION - Epoch 23 Batch 20: loss 0.026913005858659744, f1 0.176, prec 0.605, rec 0.103
TRAINING - Epoch 24 Batch 0: loss 0.028571031987667084, f1 0.142,  prec 0.525, rec 0.082
TRAINING - Epoch 24 Batch 10: loss 0.028293851763010025, f1 0.129,  prec 0.633, rec 0.072
TRAINING - Epoch 24 Batch 20: loss 0.026848983019590378, f1 0.025,  prec 0.273, rec 0.013
TRAINING - Epoch 24 Batch 30: loss 0.025689998641610146, f1 0.272,  prec 0.557, rec 0.18
TRAINING - Epoch 24 Batch 40: loss 0.0283423513174057, f1 0.182,  prec 0.644, rec 0.106
TRAINING - Epoch 24 Batch 50: loss 0.02900048717856407, f1 0.312,  prec 0.602, rec 0.211
VALIDATION - Epoch 24 Batch 0: loss 0.030463362112641335, f1 0.053, prec 0.889, rec 0.027
VALIDATION - Epoch 24 Batch 10: loss 0.028378892689943314, f1 0.057, prec 0.8, rec 0.03
VALIDATION - Epoch 24 Batch 20: loss 0.028159329667687416, f1 0.05, prec 0.583, rec 0.026
TRAINING - Epoch 25 Batch 0: loss 0.02804592251777649, f1 0.053,  prec 0.636, rec 0.028
TRAINING - Epoch 25 Batch 10: loss 0.02848861739039421, f1 0.253,  prec 0.549, rec 0.164
